nbr,Key,Title,"Publication year",Author/s,Venue,Source,"Search Type",Reviewer/s,"Template style","Comment for Template style","Design-time input type","Comment for Design-time input type",Tool,"Comment for tool","Run-time input type","Comment for Run-time input type","Output type","Comment for output_type",MDE,Context,Validation,"Application scale","Application domain",Orientation,"Publication type","Venue type","Publication name",Year,Notes
15,paper_15,"An FPGA design and implementation framework combined with commercial VLSI CADs",2013,,,,,Admin,Predefined,"Not visible to user","Programming Language",,Other,EasyRouter,"Source code",".blif files","Source code","HDL code",No,Last,Benchmark,"Large scale",Networking,Academic,Other,Other,ReCoSoC,2013,
16,paper_16,"Interoperable domain-specific languages families for code generation",2013,,,,,Admin,Output-based,"Different from template-based code generation",Schema,,Other,EcoGen,"Structured data","Abstract Syntax Tree","Source code",Java,No,Last,Benchmark,"Large scale","Software engineering",Academic,Journal,SE,SPE,2013,
17,paper_17,"Hard real-time multibody simulations using ARM-based embedded systems",2016,,,,,Admin,Output-based,"Not shown","Programming Language",,Other,Jinja2,"Source code","Python3, C++","Source code",,No,Standalone,Benchmark,"Large scale","Embedded systems",Academic,Journal,Other,"Multibody Syst Dyn",2016,
18,paper_18," A basic linear algebra compiler",2014,,,,,Admin,Predefined,"Visible template","Domain specific",,Other,Lgen,"Domain specific","Not specified","Source code",Any,No,Standalone,Benchmark,"Large scale","Software engineering",Academic,Conference,Other,CGO,2014,
19,paper_19,"Automatic generation of tuners for intel Concurrent Collections programs",2015,,,,,Admin,Predefined,"User writes tuner functions that are passed to the template","Programming Language",,Other,"Not visible","Source code","Tuner functions","Source code","Tuner code for Intel C++ Concurrent Collections",No,Standalone,Benchmark,"Large scale","Prog. Lang",Academic,Conference,Other,SOUTHEASTCON,2015,
20,paper_20,"Usability Evaluation of User Interfaces Generated with a Model-Driven Architecture Tool",2008,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Other,"OlivaNova - CASE tool","General purpose","UML diagrams","Source code","C#, VB,ASP",Yes,Standalone,Benchmark,"Large scale","Software engineering",Industry,Other,Other,,2008,
21,paper_21,"Operational pattern based code generation for management information system: An industrial case study",2016,,,,,Admin,Output-based,"Not shown",Schema,"XML Schema",Other,OPCG,"Structured data",XML,"Source code",Java,No,Standalone,Benchmark,"Small scale","Software engineering",Industry,Conference,SE,SNPD,2016,
22,paper_22,"A Template-Based Method to Create Efficient and Customizable Object-Relational Transformation Components",2013,,,,,Admin,Output-based,"Not shown",Schema,"Database schema",Other,T4,"Structured data","Database ","Source code",C,No,Standalone,Benchmark,"Large scale","Software engineering",Academic,Conference,Other,UNISCON,2013,
23,paper_23,"Domain-Specific Languages in Practice: A User Study on the Success Factors.",2009,,,,,Admin,Output-based,"Not shown","Domain specific",,Other,T4,"Domain specific",,"Source code",C#,No,Last,Benchmark,"Large scale","Software engineering",Academic,Conference,MDE,MODELS,2009,
24,paper_24,"Template-based automatic data flow code generation for mediaprocessors",2004,,,,,Admin,Predefined,"Based on the designed data flow diagram, the generator picks the right template","General purpose","Data Flow",Other,"The template works as a background program","General purpose","Data flow diagram","Source code","Direct Memory Access code",No,Standalone,Benchmark,"Small scale","Embedded systems",Academic,Journal,Other,M&M,2004,
25,paper_25,"Model Based Code Generation for Medical Cyber Physical Systems",2014,,,,,Admin,Predefined,"templates are chosen based on the metamodel","Programming Language",,Other,"TinyOS template","Source code",,"Source code","Sensor and smartphone code",Yes,Standalone,Benchmark,"Small scale","Mobile systems",Academic,Conference,Other,MMA,2014,
26,paper_26,"Rapid and robust compiler construction using template-based metacompilation",2003,,,,,Admin,Predefined,"Not shown",Schema,,Other,Tm,"Structured data","Data structure definitions","Source code",Any,No,Standalone,Benchmark,"Small scale","Software engineering",Academic,Conference,Other,CC,2003,
27,paper_27," VS-Gen: A case study of a product line for versioning systems",2004,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Other,VS-Gen,"General purpose","UML diagrams","Source code",Any,Yes,Standalone,Benchmark,"Small scale","Software engineering",Academic,Conference,SE,GPCE,2004,
28,paper_28,"A Domain Analysis to Specify Design Defects and Generate Detection Algorithms.",2008,,,,,Admin,Output-based,"Visible template","Domain specific",SADSL,Programmed,"Java with tags","Domain specific","SADSL model","Source code",Java,Yes,Standalone,Benchmark,"Large scale","Software engineering",Academic,Conference,SE,FASE,2008,
29,paper_29,"MATLAB-based rapid controller development platform for control applications.",2007,,,,,Admin,Rule-based,"Not shown","Domain specific",Simulink,"Simulink TLC",,"Domain specific","Simulink model","Source code",Any,Yes,Standalone,Benchmark,"Large scale","Software engineering",Academic,Journal,Other,JMES,2007,
30,paper_30,"Synthesis of multitask implementations of Simulink models with minimum delays.",2010,,,,,Admin,Rule-based,"Not shown","Domain specific",Simulink,"Simulink TLC",,"Domain specific","Simulink model","Source code",Any,Yes,Standalone,Benchmark,"Large scale","Embedded systems",Academic,Journal,Other,TII,2010,
31,paper_31,"Model-based hardware/software synthesis for wireless sensor network applications. ",2011,,,,,Admin,Rule-based,"Not shown","Domain specific",Simulink,"Simulink TLC",,"Domain specific","Simulink model","Source code",C,Yes,Standalone,Benchmark,"Large scale",Networking,Academic,Conference,Other,SIECPC,2011,
32,paper_32,"Compiler Backend Generation for Application Specific Instruction Set Processors",2011,,,,,Admin,Output-based,"Visible template","Programming Language",,Unspecified,,"Source code",,"Source code",Any,No,Standalone,Benchmark,"Large scale","Embedded systems",Academic,Conference,Other,APLAS,2011,
33,paper_33,"Movie-based representation of reduction operations in numerical computing",2011,,,,,Admin,Output-based,,"General purpose","UML ",Unspecified,,"General purpose","Class diagram","Source code",Any,Yes,Last,Benchmark,"Large scale","Embedded systems",Academic,Journal,Other,KBS,2011,
34,paper_34,"Automatic code generation from unified modelling language sequence diagrams",2013,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Unspecified,,"General purpose","Sequence diagram","Source code",Any,Yes,Standalone,Benchmark,"Large scale","Software engineering",Academic,Journal,SE,IETSOFT,2013,
35,paper_35,"A systematic approach to evaluating domain-specific modeling language environments for multi-agent systems",2016,,,,,Admin,Output-based,"Not shown","Domain specific",SEA_ML,Unspecified,,"Domain specific","SEA_ML model","Source code",Any,Yes,Standalone,Benchmark,"Large scale","Software engineering",Academic,Journal,SE,SQJ,2016,
36,paper_36,"Orchestrating the execution of stream programs on multicore platformsMachinery.",2008,,,,,Admin,Predefined,"Not shown","Programming Language",,Unspecified,,"Source code",,"Source code",C,No,Standalone,Benchmark,"Small scale","Embedded systems",Academic,Conference,Other,PLDI,2008,
37,paper_37,"Performance evaluation of program translation in service-oriented architectures",2006,,,,,Admin,Output-based,"Not shown","Domain specific",,Unspecified,,"Domain specific","WDSL model","Source code",C#,No,Intermediate,Benchmark,"Small scale","Software engineering",Industry,Conference,Other,ICNS,2006,
38,paper_38,"Single Appearance Schedule with Dynamic Loop Count for Minimum Data Buffer from Synchronous Dataflow Graphs",2005,,,,,Admin,Predefined,"Not shown","General purpose","Data Flow",Unspecified,,"General purpose","Data flow diagram","Source code","C, VHDL code",No,Standalone,Benchmark,"Large scale","Embedded systems",Academic,Conference,Other,CASES,2005,
39,paper_39,"Comparing high performance techniques for the automatic generation of efficient solvers of cardiac cell models",2013,,,,,Admin,Output-based,"Not shown","Domain specific",CellML,Unspecified,,"Domain specific",CellML,"Source code",C++,Yes,Standalone,Benchmark,"Large scale",Bio-med,Academic,Journal,Other,COMPUTING,2013,
40,paper_40,"A framework for automated construction of node software using low-level attributes in usn application development",2012,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Unspecified,,"General purpose","Class diagram","Structured data","Configuration files",Yes,Standalone,Benchmark,"Large scale","Software engineering",Academic,Journal,SE,IJSEKE,2012,
41,paper_41,"PADS: A pattern-driven stencil compiler-based tool for reuse of optimizations on GPGPUs",2011,,,,,Admin,Predefined,"Comes from a template library. User can extend the template code ",Schema,,Unspecified,,"Structured data","Template specification. Not much info on that.","Source code","CUDA codes",No,Last,Benchmark,"Large scale",Graphic,Academic,Conference,Other,ICPADS,2011,
42,paper_42,"A flattening strategy for SML module compilation and its implementation.",2009,,,,,Admin,Output-based,"It is very formal. Visible template. ","Programming Language",,Unspecified,,"Source code","Compilation environment","Structured data","funtor values",No,Standalone,Benchmark,"Small scale","Software engineering",Academic,Journal,Other,IMT,2009,
43,paper_43,"Web Application Slicing in Presence of Dynamic Code Generation",2005,,,,,Admin,Output-based,"Visible template",Schema,,Unspecified,,"Structured data",,"Structured data",HTML,No,Standalone,Benchmark,"Large scale","Web technology",Academic,Journal,SE,ASE,2005,
44,paper_44,"HTML templates that fly a template engine approach to automated offloading from server to client",2009,,,,,Admin,Output-based,"Not shown","Programming Language",,Unspecified,,"Source code",PHP,"Structured data",HTML,No,Last,Benchmark,"Large scale","Web technology",Industry,Conference,Other,WWW,2009,
45,paper_45,"Annotation for automation: Rapid generation of file system tools",2013,,,,,Admin,Output-based,"Not shown","Programming Language",,Unspecified,,"Source code",TestFS,"Structured data",HTML,No,Standalone,Benchmark,"Large scale","Software engineering",Academic,Conference,Other,SOSP,2013,
46,paper_46,"Code Generation for Embedded Java with Ptolemy",2010,,,,,Admin,Output-based,"Visible template","Domain specific",,Unspecified,,"Domain specific","Ptolemy models","Source code",Java,No,Standalone,Benchmark,"Large scale","Embedded systems",Academic,Conference,SE,SEUS,2010,
47,paper_47,"Goal-Based Automated Code Generation in Self-Adaptive System",2010,,,,,Admin,Output-based,"Visible template",Schema,,Unspecified,,"Structured data","Code structure","Source code",Java,No,Standalone,Benchmark,"Large scale","Software engineering",Academic,Journal,Other,JCST,2010,
48,paper_48,"Maximizing Automatic Code Generation: Using XML Based MDA",2012,,,,,Admin,Predefined,"Not visible to user",Schema,,Unspecified,,"Structured data",XML,"Source code",Java,No,Standalone,Benchmark,"Large scale","Software engineering",Academic,Conference,Other,IC3,2012,
49,paper_49,"SIGMA: Scala Internal Domain-Specific Languages for Model Manipulations.",2014,,,,,Admin,Output-based,"Visible template","Domain specific",,Unspecified,,"Domain specific",,"Source code",Java,Yes,Standalone,Benchmark,"Small scale","Software engineering",Academic,Conference,MDE,MODELS,2014,
50,paper_50,"Debugging Statecharts Via Model-Code Traceability",2008,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Unspecified,,"General purpose","UML diagrams","Source code","Java ",Yes,Last,Benchmark,"Large scale","Software engineering",Academic,Conference,Other,ISOLA,2008,
51,paper_51,"Analysis prediction template toolkit (APTT) for object-based computation",2000,,,,,Admin,Output-based,"Looks traditional but there is no variable parts in the template",Schema,,Unspecified,,"Structured data","Data structure description","Source code","Java, C",No,Last,Benchmark,"Large scale",Compiler,Industry,Journal,Other,SOFTWARE,2000,
52,paper_52,"Domain-specific language for event-based compliance monitoring in process-driven SOAs.",2013,,,,,Admin,Output-based,"Not shown","Domain specific",,Unspecified,,"Domain specific",,"Structured data","Java, HTML",Yes,Standalone,Benchmark,"Large scale","Software engineering",Academic,Journal,SE,SOCA,2013,
53,paper_53,"Templates-based portable just-in-time compiler",2003,,,,,Admin,Output-based,"The variable parts are mostly memory address","Programming Language",,Unspecified,,"Source code",C,"Source code","Machine code",No,Standalone,Benchmark,"Large scale",Compiler,Industry,Journal,Other,CGO,2003,
54,paper_54,"A component model for model transformations.",2014,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Unspecified,,"General purpose","Activity diagram","Source code",OCL,Yes,Last,Benchmark,"Large scale","Software engineering",Academic,Journal,SE,TSE,2014,
55,paper_55,"Source code generator based on a proprietary specification language",2002,,,,,Admin,Output-based,"Each part is specified as a tag. Whether it is a text or template body",Schema,"Database schema",Unspecified,,"Structured data",,"Structured data","SQL statements, pseudo-code, user interface",Yes,Standalone,Benchmark,"Small scale",DB,Academic,Conference,Other,ICSS,2002,
56,paper_56,"Hardware code generation from dataflow programs",2010,,,,,Admin,Predefined,"Not shown","Programming Language",,Unspecified,,"Source code","Data flow program","Source code","VHDL code",No,Standalone,Benchmark,"Large scale","Software engineering",Industry,Conference,Other,DASIP,2010,
57,paper_57,"Hardware synthesis from software-oriented UML descriptions",2015,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Unspecified,,"General purpose","State diagram","Source code","VHDL code",Yes,Standalone,Benchmark,"Large scale","Embedded systems",Industry,Conference,Other,MTV,2015,
58,paper_58,"Mod4J: A Qualitative Case Study of Model-Driven Software Development",2010,,,,,Admin,Output-based,"Not shown","Domain specific","Not specified",Xpand,,"Domain specific","Not specified","Source code",Any,Yes,Standalone,Benchmark,"Large scale","Software engineering",Industry,Conference,MDE,MODELS,2010,
59,paper_59,"Deriving performance-relevant infrastructure properties through model-based experiments with Ginpex",2014,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Xpand,,"General purpose","Activity diagram","Source code",Java,Yes,Intermediate,Benchmark,"Large scale","Software engineering",Industry,Journal,MDE,SOSYM,2014,
60,paper_60,"Model-Driven Approach for Supporting the Mapping of Parallel Algorithms to Parallel Computing Platforms",2013,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Xpand,,"General purpose","Class diagram","Source code",MPI,Yes,Standalone,Benchmark,"Large scale","Prog. Lang",Academic,Conference,MDE,MODELS,2013,
61,paper_61,"WISBuilder: A Framework for Facilitating Development of Web-Based Information Systems",2006,,,,,Admin,Output-based,"Visible template",Schema,,XSLT,,"Structured data",XML,"Structured data","HTML, JavaScript",No,Standalone,Benchmark,"Large scale","Software engineering",Academic,Conference,Other,CONIELECOMP,2006,
62,paper_62,"Component Reconfiguration Tool for Software Product Lines with XML Technology.",2004,,,,,Admin,Output-based,"Visible template",Schema,,XSLT,,"Structured data",XML,"Source code",Java,No,Standalone,Benchmark,"Large scale","Software engineering",Academic,Conference,Other,WISE,2004,
63,paper_63,"A Case Study on Model-Driven Development and Aspect-Oriented Programming: Benefits and Liabilities.",2015,,,,,Admin,Output-based,"Visible template",Schema,XML-Schema,XSLT,,"Structured data",XML,"Source code",Java,Yes,Standalone,Benchmark,"Large scale",Aspect-oriented,Academic,Conference,SE,ICSOFT,2015,
64,paper_64,"Automatic Construction of Deployment Descriptors for Web Applications",2011,,,,,Admin,Output-based,"Visible template",Schema,,XSLT,,"Structured data",XML,"Source code","Runtime Deployment Description",No,Last,Benchmark,"Large scale","Web technology",Industry,Conference,Other,ICEBE,2011,
65,paper_65,"Towards Automated Deployment of Built-to-Order Systems",2005,,,,,Admin,Output-based,"Not shown",Schema,"XML Schema",XSLT,,"Structured data",XACCT,"Source code","SmartFrog, Java",No,Standalone,Benchmark,"Large scale","Software engineering",Industry,Other,Other,DSOM,2005,
66,paper_66,"A case for test-code generation in model-driven systems",2003,,,,,Admin,Output-based,"Not shown",Schema,"XML Schema",XSLT,,"Structured data",XML,"Structured data","Test code",No,Standalone,Benchmark,"Large scale",Testing,Academic,Conference,SE,GPCE,2003,
67,paper_67," Adapting model transformation approach for Android smartphone application",2011,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Acceleo,,"General purpose","UML diagrams","Source code",Any,Yes,Last,"Case study","Large scale","Mobile systems",Academic,Conference,Other,CCIS,2011,
68,paper_68,"An approach based on the domain perspective to develop WSAN applications",2015,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Acceleo,,"General purpose","Activity diagram","Source code",Any,Yes,Intermediate,"Case study","Large scale",Networking,Academic,Journal,MDE,SOSYM,2015,
69,paper_69,"Towards MDA Best Practice: An Innovative Interpreter for SMEs",2012,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Acceleo,,"General purpose","Class diagram","Structured data","C#, XML",Yes,Standalone,"Case study","Small scale","Software engineering",Industry,Journal,Other,EIV,2012,
70,paper_70,"An Industrial System Engineering Process Integrating Model Driven Architecture and Model Based Design",2012,,,,,Admin,Output-based,"Not shown","General purpose",Marte,Acceleo,,"General purpose","UML diagrams","Source code","C, C++",Yes,Standalone,"Case study","Large scale","Software engineering",Academic,Conference,MDE,MODELS,2012,
71,paper_71,"MDA-Based Approach for Implementing Secure Mobile Agent Systems",2013,,,,,Admin,Output-based,"Not shown","Domain specific",AGLETs,Acceleo,,"Domain specific","AGLETS model","Source code",Java,Yes,Last,"Case study","Large scale",Other,Academic,Conference,SE,AOSE,2013,
72,paper_72,"On the modeling and generation of service-oriented tool chains",2014,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Acceleo,,"General purpose","UML diagrams","Source code",Java,Yes,Intermediate,"Case study","Large scale","Software engineering",Industry,Journal,MDE,SOSYM,2014,
73,paper_73,"The Epsilon Generation Language",2008,,,,,Admin,Output-based,"Visible template","General purpose","UML ",EGL,,"General purpose",,"Source code","Code and text",Yes,Standalone,"Case study","Large scale","Software engineering",Academic,Conference,MDE,ECMFA,2008,
74,paper_74,"Eugenia: towards disciplined and automated development of GMF-based graphical model editors",2015,,,,,Admin,Output-based,"Visible template","General purpose","UML ",EGL,,"General purpose","UML diagrams","Source code",,Yes,Standalone,"Case study","Large scale","Software engineering",Academic,Journal,MDE,SOSYM,2015,
75,paper_75,"The caCORE Software Development Kit: Streamlining construction of interoperable biomedical information services.",2006,,,,,Admin,Output-based,"Not shown","General purpose","UML ",JET,,"General purpose","Class diagram","Source code",Any,Yes,Standalone,"Case study","Large scale",Bio-med,Industry,Journal,Other,BMIDM,2006,
76,paper_76,"Model-driven generation of runtime checks for system properties",2016,,,,,Admin,Output-based,"Not shown","General purpose","UML ",JET,,"General purpose","UML diagrams","Source code",AspectJ,Yes,Standalone,"Case study","Large scale","Software engineering",Academic,Journal,SE,STTT,2016,
77,paper_77,"A UML2 Profile for Reusable and Verifiable Software Components for Real-Time Applications",2006,,,,,Admin,Output-based,"Not shown","General purpose","UML ",JET,,"General purpose","Class diagram","Source code",Java,Yes,Standalone,"Case study","Large scale","Embedded systems",Academic,Conference,SE,ICSR,2006,
78,paper_78,"Model-based evolution of collaborative agent-based systems.",2007,,,,,Admin,Output-based,"Not shown","General purpose","UML ",JET,,"General purpose","Class diagram","Source code",Java,Yes,Standalone,"Case study","Large scale","Software engineering",Academic,Journal,Other,JBCS,2007,
79,paper_79,"F3T: a tool to support the F3 approach on the development and reuse of frameworks.",2015,,,,,Admin,Output-based,"Not shown","Domain specific",,JET,,"Domain specific",,"Source code",Java,Yes,Standalone,"Case study","Large scale","Software engineering",Academic,Journal,SE,JSERD,2015,
80,paper_80,"A Generative Approach for Multi-agent System Development",2005,,,,,Admin,Output-based,"Not shown","Domain specific",ASideML,JET,,"Domain specific",,"Source code","Java, AspectJ",No,Standalone,"Case study","Large scale","Software engineering",Academic,Other,Other,,2005,
81,paper_81,"Autogeneration of Database Applications from XML Metadata for Web-Based Data Entry",2009,,,,,Admin,Output-based,"Not shown ",Schema,,Other,AutoGen,"Structured data",XML,"Source code","PHP,HTML",No,Standalone,"Case study","Large scale","Web technology",Industry,Conference,Other,ICIS,2009,
82,paper_82,"Service-oriented smart home applications: composition, code generation, deployment, and execution",2012,,,,,Admin,Output-based,"Not shown",Schema,"Database schema",Other,CodeSmith,"Structured data",XML,"Source code",Java,No,Intermediate,"Case study","Large scale","Mobile systems",Academic,Journal,SE,SOCA,2012,
83,paper_83,"Dataplane specialization for high-performance OpenFlow software switching",2016,,,,,Admin,Output-based,"Visible template","Domain specific",,Other,Eswitch,"Domain specific",,"Source code",,No,Standalone,"Case study","Small scale",Networking,Industry,Conference,Other,SIGCOMM,2016,
84,paper_84,"Platform-Variant Applications from Platform-Independent Models via Templates",2011,,,,,Admin,Output-based,"Visible template","General purpose","EP models",Other,"Formal Template Language","General purpose","EP classes","Source code","Java, Objective C",Yes,Standalone,"Case study","Large scale","Mobile systems",Academic,Other,Other,WGT,2011,
85,paper_85,"GENVIS-model-based generation of data visualizers",2000,,,,,Admin,Output-based,"Visible template",Schema,"XML Schema",Other,GENVIS,"Structured data",XML,"Source code","LiveLink code",Yes,Intermediate,"Case study","Small scale","Software engineering",Industry,Conference,SE,TOOLS,2000,
86,paper_86,"Architectural model for generating user interfaces based on class metadata",2013,,,,,Admin,Output-based,"template gets the data from a metadata repository",Schema,,Other,MAGIU,"Structured data","Metadata. Not much about the model","Structured data",HTML,No,Standalone,"Case study","Large scale","Software engineering",Academic,Conference,Other,ICCSA,2013,
87,paper_87,"A case study: Automatic topology synthesis for analog circuit from an ASDeX specification",2012,,,,,Admin,Output-based,"Visible template. More metacode than target language",Schema,,Other,Mako-template,"Structured data","ASDeX specification","Source code","C, Ocean, VerilogA",No,Standalone,"Case study","Large scale","Software engineering",Academic,Conference,Other,SMACD,2012,
88,paper_88,"POGen: A Test Code Generator Based on Template Variable Coverage in Gray-Box Integration Testing for Web Applications",2013,,,,,Admin,Predefined,"Visible template",Schema,,Other,PoGen,"Structured data",,"Structured data",HTML,No,Standalone,"Case study","Large scale","Web technology",Industry,Conference,SE,FASE,2013,
89,paper_89,"Workflow-Driven Tool Integration Using Model Transformations",2010,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Other,Viatra3,"General purpose","Class diagram","Structured data",XML,Yes,Standalone,"Case study","Large scale","Software engineering",Industry,Other,Other,,2010,
90,paper_90,"The Zerberus Language: Describing the Functional Model of Dependable Real-Time Systems",2005,,,,,Admin,Output-based,"Visible template","Programming Language",,Other,"Zerberus ","Source code","Zerberus code","Source code",Any,No,Standalone,"Case study","Small scale","Embedded systems",Industry,Conference,Other,LADC,2005,
91,paper_91,"A model-driven design framework for massively parallel embedded systems",2011,,,,,Admin,Predefined,"Not shown","General purpose",Marte,Programmed,"Java template","General purpose","UML diagrams","Source code",Java,Yes,Last,"Case study","Large scale","Embedded systems",Academic,Journal,Other,TECS,2011,
92,paper_92,"Aspect-oriented design and implementation of adaptable access control for Electronic Medical Records",2010,,,,,Admin,Output-based,"Rule translator writes corresponding values inside []",Schema,"XML Schema",Programmed,"Java with variable metacodes in []","Structured data",XML,"Source code",Java,Yes,Intermediate,"Case study","Small scale",Bio-med,Academic,Journal,Other,IJMI,2010,
93,paper_93,"Pol: Specification-driven Synthesis of Architectural Code Frameworks for Platform-based Applications",2012,,,,,Admin,Output-based,"Template part encapsulated inside design-fragment part.",Schema,"XML Schema",Programmed,"Java with variable values starting with $ ","Structured data",XML,"Source code",Java,Yes,Last,"Case study","Large scale","Software engineering",Academic,Conference,SE,GPCE,2012,
94,paper_94,"Platform-dependent code generation for embedded real-time software. ",2013,,,,,Admin,Output-based,"Metacode are written as functions to get the correct value. Visible template","General purpose",AADL,Unspecified,,"General purpose","AADL model","Source code",Any,No,Standalone,"Case study","Large scale","Embedded systems",Academic,Conference,Other,CASES,2013,
95,paper_95,"A Technique for Code Generation of USN Applications Based on Nano-Qplus.",2006,,,,,Admin,Output-based,"Not shown","Domain specific",,Unspecified,,"Domain specific","USN model","Source code",C,No,Standalone,"Case study","Large scale",Networking,Industry,Conference,Other,ICCS,2006,
96,paper_96,"Fast template-based heterogeneous MPSoC synthesis on FPGA.",2013,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Unspecified,,"General purpose","Class diagram","Source code",C,Yes,Standalone,"Case study","Large scale",Other,Industry,Conference,Other,ARC,2013,
97,paper_97,"A Model Based Integration Framework for Computer Numerical Control System Development",2010,,,,,Admin,Predefined,"Not visible to user","Domain specific","UML ",Unspecified,,"Domain specific","CNC Modeling Language","Source code","C ",Yes,Last,"Case study","Large scale",Compiler,Industry,Journal,Other,RCIM,2010,
98,paper_98,"A Case Study to Evaluate Templates & Metadata for Developing Application Families",2007,,,,,Admin,Output-based,"Visible template",Schema,XML-Schema,Unspecified,,"Structured data",XML,"Source code",C#,No,Standalone,"Case study","Small scale","Software engineering",Industry,Other,Other,,2007,
