#,key,Title,Link,Abstract,Preview
36,paper_36,"Vertical Test Reuse for Embedded Systems: A Systematic Mapping Study",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958235305&partnerID=40&md5=16444cc014261bf229bc5003e5f50f50,"<b>Key words:</b><br/>embedded system, systematic mapping study, vertical test reuse <br/>",
37,paper_37,"What do we know about the defect types detected in conceptual models?",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937942055&partnerID=40&md5=f5d60b4ef9d480f4806a8bad04269abe,"<b>Key words:</b><br/>Conceptual Schema Defects, Defect Classification Scheme, Model-Driven Development, Systematic Mapping Study <br/>",
38,paper_38,"When and what to automate in software testing? A multi-vocal literature review",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969529104&partnerID=40&md5=b1a7b786fb5bbbec9737993a11f4e652,"<b>Key words:</b><br/>Decision support, Multivocal literature review, Software test automation, Systematic literature review, Systematic Mapping study, What to automate, When to automate <br/>",
39,paper_39,"A Systematic Mapping Study on Test Generation from Input/Output Transition Systems",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958235921&partnerID=40&md5=4a11222530cf3542f8047a0b76a39271,"<b>Key words:</b><br/>Input/Output Transition Systems, systematic mapping study, test generation <br/>",
40,paper_40,"A mapping study to investigate component-based software system metrics",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872676227&partnerID=40&md5=168cb6d0d2c29588e6a74450ccc234fc,"<b>Key words:</b><br/>Component-based software system, Software components, Software metrics, Software quality, Systematic mapping study <br/>",
41,paper_41,"A review of research on risk analysis methods for IT systems",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877289265&partnerID=40&md5=e1f98654dd2286cf5fd9e00497f14c7b,"<b>Key words:</b><br/>IT systems, Mapping study, Risk analysis <br/>",
42,paper_42,"A systematic mapping study of mobile application testing techniques",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963641809&partnerID=40&md5=76dba7bb0f8605cbc0fd95a05873dca4,"<b>Key words:</b><br/>Mobile application testing, Software testing, Systematic mapping <br/>",
43,paper_43,"A systematic mapping study of web application testing",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878316262&partnerID=40&md5=efb3d8db2cdcf51f20930ef18222929d,"<b>Key words:</b><br/>Bibliometrics, Paper repository, Systematic mapping, Testing, Web application <br/>",
44,paper_44,"A systematic mapping study on fault management in cloud computing",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908005906&partnerID=40&md5=4d276f88513f45493729ad18a23aebee,"<b>Key words:</b><br/>Cloud Computing, Dependability, Evidence-Based Research, Fault Management, Mapping Study, Secondary Study <br/>",
45,paper_45,"A systematic mapping study on legacy system modernization",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988349883&partnerID=40&md5=451bac271599396ea4902529ffac10fa,"<b>Key words:</b><br/>Legacy systems, Mapping studies in software engineering, Software modernization <br/>",
46,paper_46,"A systematic mapping study on testing technique experiments: Has the situation changed since 2000?",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907807087&partnerID=40&md5=00c82980bdc011d47bb2182dc9e3a806,"<b>Key words:</b><br/>mapping study, software testing techniques, testing experiments <br/>",
47,paper_47,"A systematic mapping study on the combination of static and dynamic quality assurance techniques",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80055068778&partnerID=40&md5=79090e7196d4dd5edae0bed3976791e4,"<b>Key words:</b><br/>Combination, Dynamic quality assurance, Inspection, Static quality assurance, Systematic mapping study, Testing <br/>",
48,paper_48,"Agile testing: Past, present, and future - Charting a systematic map of testing in agile software development",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868294056&partnerID=40&md5=07cb548e86ce68641af0917124a13d80,"<b>Key words:</b><br/>agile software development, empirical, software testing, systematic mapping, test-driven development, testing tools <br/>",
49,paper_49,"RiPLE-TE: A process for testing Software Product Lines",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855554904&partnerID=40&md5=e8613b35f4a36d18abc967fb4a53af68,"<b>Key words:</b><br/>Software process, Software product lines, Software reuse, Software testing <br/>",
50,paper_50,"Systematic mapping study in automatic test case generation",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948782811&partnerID=40&md5=ce17b999150fefd2e67fae653350f6ca,"<b>Key words:</b><br/>Automatic test case generation methods, Software testing, Test case generation, Test case generation methods <br/>",
51,paper_51,"Systematic mapping study of model transformations for concrete problems",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969921820&partnerID=40&md5=3845b641095db79942e3712d847bb345,"<b>Key words:</b><br/>Model Transformation, Software Engineering, Systematic Mapping <br/>",
52,paper_52,"Test case prioritization: A systematic mapping study",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880587969&partnerID=40&md5=442d06af0d109613e52157d932d6d107,"<b>Key words:</b><br/>Regression testing, Systematic literature review, Systematic mapping study, Test case prioritization <br/>",
53,paper_53,"Web application testing: A systematic literature review",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900597825&partnerID=40&md5=29b2691a945894ddceca3e7f69123b48,"<b>Key words:</b><br/>Systematic literature review, Testing, Web application <br/>",
54,paper_54,"What a long, strange trip it's been: Past, present, and future perspectives on software testing research",https://www.scopus.com/inward/record.uri?eid=2-s2.0-82255172046&partnerID=40&md5=cd89afa234a6f03b9cae5e3e617ab60d,"<b>Key words:</b><br/>Software Testing, systematic mapping <br/>",
