#,key,Title,Link,Preview,Abstract,Year,Bibtex
11,paper_15,"Execution of natural language requirements using state machines synthesised from Behavior Trees",http://www.scopus.com/inward/record.url?eid=2-s2.0-84865230441&partnerID=40&md5=28c4f551dfadaae37f1cee034ad9b936,"<b>Authors:</b><br/>Kim S.-K., Myers T., Wendland M.-F., Lindsay P.A. <br/><b>Key words:</b><br/>Behavior Engineering; Behavior Trees; MDE; Model Transformation; Requirements; Requirements Validation; UML State Machine <br/>","This paper defines a transformation from Behavior Tree models to UML state machines. Behavior Trees are a graphical modelling notation for capturing and formalising dynamic system behaviour described in natural language requirements. But state machines are more widely used in software development, and are required for use with many tools, such as test case generators. Combining the two approaches provides a formal path from natural language requirements to an executable model of the system. This in turn facilitates requirements validation and transition to model-driven software development methods. The approach is demonstrated by defining a mapping from Behavior Trees to UML state machines using the ATLAS Transformation Language (ATL) in the Eclipse Modeling Framework. A security-alarm system case study is used to illustrate the use of Behavior Trees and execution to debug requirements. _ 2012 Elsevier Inc. All rights reserved.",2012,
12,paper_17,"Formalising model transformation rules for UML/MOF 2",http://www.scopus.com/inward/record.url?eid=2-s2.0-45849143287&partnerID=40&md5=5cee9d4e0c070821ff1e26e86952ee49,"<b>Authors:</b><br/>Amelunxen C., Schurr A. <br/>","Model-driven software development, today\'s state-of-the-art approach to the design of software, can be applied in various domains and thus demands a variety of domain-specific modelling languages. The specification of a domain-specific modelling language\'s syntax and semantics can in turn be specified based on models, which represent the approach of metamodelling as a special form of language engineering. The latest version of the unified modelling language 2 (UML 2) and its subset the meta object facility 2 (MOF 2) provide sufficient support for metamodelling, a modelling language\'s abstract syntax. Furthermore, based on the description of the abstract syntax, a language\'s static semantics can simply be specified by the object constraint language (OCL) as UML/MOF\'s natural constraint language, whereas the description of an MOF compliant language\'s dynamic semantics is still not covered. The authors try to close this gap by integrating MOF/OCL with graph transformations for the specification of dynamic aspects of modelling languages and tools. The formalisation of such an integration is non-trivial because of the fact that UML/MOF 2 offer a rather unusual and sophisticated association concept (graph model). Although there are many approaches, which formalise graph transformations in general and first approaches that offer a precise specification of the semantics of the association concepts of UML/MOF 2, there is still a lack in bringing both together. Here, the authors close this gap by formalising graph transformations that work on a UML/MOF 2 compatible graph model. _ 2008 The Institution of Engineering and Technology.",2008,
13,paper_18,"From AADL to Timed Abstract State Machines: A verified model transformation",http://www.scopus.com/inward/record.url?eid=2-s2.0-84900826199&partnerID=40&md5=0ad3d16afd97d7f87ffb9f20bf15eb94,"<b>Authors:</b><br/>Yang Z., Hu K., Ma D., Bodeveix J.-P., Pi L., Talpin J.-P. <br/><b>Key words:</b><br/>Architecture Analysis and Design Language (AADL); Coq; Model transformation; Model-driven engineering; Semantics preservation; Timed Abstract State Machine (TASM) <br/>","Architecture Analysis and Design Language (AADL) is an architecture description language standard for embedded real-time systems widely used in the avionics and aerospace industry to model safety-critical applications. To verify and analyze the AADL models, model transformation technologies are often used to automatically extract a formal specification suitable for analysis and verification. In this process, it remains a challenge to prove that the model transformation preserves the semantics of the initial AADL model or, at least, some of the specific properties or requirements it needs to satisfy. This paper presents a machine checked semantics-preserving transformation of a subset of AADL (including periodic threads, data port communications, mode changes, and the AADL behavior annex) into Timed Abstract State Machines (TASM). The AADL standard itself lacks at present a formal semantics to make this translation validation possible. Our contribution is to bridge this gap by providing two formal semantics for the subset of AADL. The execution semantics provided by the AADL standard is formalized as Timed Transition Systems (TTS). This formalization gives a reference expression of AADL semantics which can be compared with the TASM-based translation (for verification purpose). Finally, the verified transformation is mechanized in the theorem prover Coq. _ 2014 Elsevier Inc.",2014,
14,paper_19,"From UML to ANSI-C: An eclipse-based code generation framework",http://www.scopus.com/inward/record.url?eid=2-s2.0-57649210777&partnerID=40&md5=dc890e31582356bb18bc74abf12b778e,"<b>Authors:</b><br/>Funk M., Nyen A., Lichter H. <br/><b>Key words:</b><br/>ANSI-C; Code generation; Embedded & real-time systems; UML <br/>","Model-driven engineering has recently gained broad acceptance in the field of embedded and real-time soft-ware systems. While larger embedded and real-time systems, developed e.g. in aerospace, telecommunication, or automotive industry, are quite well supported by model-driven engineering approaches based on the UML, small embedded and real-time systems, as they can for example be found in the industrial automation industry, are still handled a bit novercal. A major reason for this is that the code generation facilities, being offered by most of the UML modeling tools on the market, do indeed support C/C++ code generation in all its particulars, but neglect the generation of plain ANSI-C code. However, this would be needed for small embedded and real-time systems, which have special characteristics in terms of hard time and space constraints. Therefore we developed a framework, which allows to generate ANSI conformant C code from UML models. It is built on top of Eclipse technology, so that it can be integrated easily with available UML modeling tools. Because flexibility and customizability are important requirements, the generation process consists of a model-to-model transformation between the UML source model and an intermediate ANSI-C model, as well as a final model-to-text generation from the intermediate ANSI-C model into C code files. This approach has several advantages compared to a direct code generation strategy.",2008,
15,paper_20,"From real computational independent models to information system models: An MDE approach",http://www.scopus.com/inward/record.url?eid=2-s2.0-84885236205&partnerID=40&md5=eb35d298e364b160590073065a17525e,"<b>Authors:</b><br/>De Castro V., Mesa J.M.V., Herrmann E., Marcos E. <br/><b>Key words:</b><br/>Computational Independent Models; Information system Models; Model Driven Engineering; Model Transformations <br/>","Model Driven Engineering approaches deal with the provision of models, transformations between them and code generators to address software development. One of the main advantages of this approach is the definition of a conceptual structure where the models used by business managers and analysts can be traced towards more detailed models used by software developers. In this paper we focus on this kind of model transformations, that is, model transformations that allow us obtain behavioural models of the service-oriented information system (Platform Independent Models) from high level business models (Computational Independent Models). From our point of view, the main drawback regarding CIM to PIM transformations lies in the alignment between what we model at CIM and PIM levels, the business view in the former and the information system view in the later. All this given, in this work we analyze, by mean of a case study, how it is possible to integrate both views and therefore, how we can help software developers to take the most of the business knowledge represented in high level business models.",2008,
16,paper_21,"Generating user interfaces from conceptual models: A modeltransformation based approach",http://www.scopus.com/inward/record.url?eid=2-s2.0-84879681495&partnerID=40&md5=ddef90d1021c316aa6dd57f3ed070167,"<b>Authors:</b><br/>Pastor O. <br/><b>Key words:</b><br/>Conceptual modeling of user interface; Functional requirements; Model-based code generation; User interaction and model-driven approach <br/>","Traditionally, the Software Engineering community has been interested in defining methods and processes to develop software by specifying its data and behavior disregarding user interaction. On the other hand, the Human-Computer Interaction community has defined techniques oriented to the modeling of the interaction between the user and the system, proposing a user-oriented software construction. This paper aspires to reconcile both visions by integrating them in a whole software production process. An approach based on conceptual- schema centric software development is presented, where conceptual primitives intended to specify static, dynamic and interaction aspects are properly provided. Furthermore, Model Transformation techniques are proposed to go from the problem space, represented by the Conceptual Schema, to the solution space, represented by the corresponding final software product. This proposal is underpinned by some current MDA-based technology, which makes user-oriented, model-based software generation a reality. _ 2007 Springer.",2007,
17,paper_22,"Increasing quality in scenario modelling with model-driven development",http://www.scopus.com/inward/record.url?eid=2-s2.0-78751479998&partnerID=40&md5=6997c0285712b8a8c585373db710b0fb,"<b>Authors:</b><br/>Santos J.P., Moreira A., Araujo J., Goulao M. <br/><b>Key words:</b><br/>Model transformations; Model-driven engineering; Scenario modeling <br/>","Models, with different levels of detail, share similar abstractions that can be reused by means of model-driven techniques such as transformations. For example, scenarios are a well-known technique in requirements engineering to represent behavioral flows in a software system. When using UML, scenarios are typically represented with activity models in the early stages of software development, while sequence models are used to describe more detailed object interactions as modeling progresses. This paper defines transformation rules to automate the migration from activity to sequence models. We present a case study illustrating the application of our transformation rules. Our preliminary assessment of the impact of the benefits of using these transformations points to: (i) a reduction of around 50% in the effort building sequence models, (ii) increased traceability among models, and (iii) error prevention when migrating from different scenario notations. _ 2010 IEEE.",2010,
18,paper_24,"Model transformations to bridge concrete and abstract syntax of web rule languages",http://www.scopus.com/inward/record.url?eid=2-s2.0-77953850056&partnerID=40&md5=ab6df885f0ce090e2720867a5d804590,"<b>Authors:</b><br/>Milanovic M., Gasevic D., Giurca A., Wagner G., Lukichev S., Devedzic V. <br/><b>Key words:</b><br/>Languages; MDE; OCL; R2ML; Rules; SWRL; Syntax; Transformations <br/>","This paper presents a solution to bridging the abstract and concrete syntax of a Web rule languages by using model transforma-tions. Current specifications of Web rule languages such as Semantic Web Rule Language (SWRL) or RuleML define their abstract syntax (e.g., metamodel) and concrete syntax (e.g., XML schema) separately. Although the recent research in the area of Model-Driven Engineering (MDE) demonstrates that such a separation of two types of syntax is a good practice (due to the complexity of languages), one should also have tools that check validity of rules written in a concrete syntax with respect to the abstract syntax of the rule language. In this study, we use the REWERSE I1 Rule Markup Language (R2ML), SWRL, and Object Constraint Language (OCL), whose abstract syntax is defined by using metamodeling, while their textual concrete syntax is defined by using ei-ther XML/RDF schema or Extended Backus-Naur Form (EBNF) syntax. We bridge this gap by a bi-directional transformation defined in a model transformation language (ATLAS Transformation Language, ATL). This transformation allowed us to discover a number of issues in both web rule language metamodels and their corresponding concrete syntax, and thus make them fully compatible. This solution also enables for sharing web rules between different web rule languages.",2009,
19,paper_25,"Harvesting models from web 2.0 databases",http://link.springer.com/article/10.1007/s10270-011-0194-z,"<b>Authors:</b><br/>Oscar Díaz, Gorka Puente, Javier Luis Cánovas Izquierdo, Jesús García Molina <br/>",,2011,
20,paper_26,"Model-driven software migration into service-oriented architectures",http://www.scopus.com/inward/record.url?eid=2-s2.0-84872618488&partnerID=40&md5=cb26634b28962cf9696290ce28516fee,"<b>Authors:</b><br/>Andreas Fuhr Tassilo Horn Volker Riediger  Andreas Winter  <br/><b>Key words:</b><br/>Model-driven software development; Reengineering; Service-oriented architecture; Software migration <br/>","This paper proposes model-driven techniques to extend IBM\'s SOMA method towards migrating legacy systems into Service-Oriented Architectures (SOA). The proposal explores how graph-based querying and transformation techniques enable the integration of legacy assets into a new SOA and how these techniques can be integrated into the overall migration process. The presented approach is applied to the identification and migration of services in an open source Java software system. _ 2011 Springer-Verlag.",2013,
21,paper_27,"Model-driven transformations: From analysis to MVC 2 web model",http://www.scopus.com/inward/record.url?eid=2-s2.0-77952312321&partnerID=40&md5=d7cade38a49023fdfaff0d54a5481ad5,"<b>Authors:</b><br/>Mbarki S., Erramdani M. <br/><b>Key words:</b><br/>Meta-models; Model driven engineering; Rules transformation; Software engineering; Web applications development <br/>","Web applications have the complexity of designing, developing, maintaining, and managing. These systems have increased significantly as well. To cope with this complexity, several frameworks (supporting the MVC 2 pattern) have been elaborated. Facing this diversity and incessant improvement of Web technology, we are in need of developing a tool which is able to produce the code from analysis-level UML models. In this paper, we apply MDA approach for generating code from requirements to MVC 2 Web implementation. That is why we have developed two metamodels handling UML class diagrams and MVC 2 Web applications, then we have to set up two transformations. The first one is a PIM to PIM transformation allowing the refinement of the analysis-level class diagram. The second one is a PIM to PSM transformation for MVC 2 Web applications. _ 2009 Praise Worthy Prize S.r.l - All rights reserved.",2009,
22,paper_28,"Modgraph: A transformation engine for EMF model transformations",http://www.scopus.com/inward/record.url?eid=2-s2.0-80052557692&partnerID=40&md5=d60b3218981c9486929b03a2634fd37c,"<b>Authors:</b><br/>Buchmann T., Westfechtel B., Winetzhammer S. <br/><b>Key words:</b><br/>Code generation; EMF; Graph transformations; Model-driven development; OCL; Pattern matching <br/>","Model-driven software engineering aims at increasing productivity by replacing conventional programming with the development of high-level executable models. However, current technology focuses on structural models, while behavioral modeling is still neglected. The transformation engine ModGraph intends to fill this gap. ModGraph complements the Eclipse Modeling Framework with graphical transformation rules from which executable code is generated. An operation defined in an Ecore model is specified by a model transformation rule which is compiled into a Java method calling EMF operations. In this way, ModGraph complements the capabilities of EMF which would compile operations into empty Java methods. The net result is an environment which provides comprehensive support for executable models.",2011,
23,paper_29,"Modular JADE agents design and implementation using ASEME",http://www.scopus.com/inward/record.url?eid=2-s2.0-78649899730&partnerID=40&md5=42a478deb6775c2c3d1489f13775c4f6,"<b>Authors:</b><br/>Spanoudakis N., Moraitis P. <br/>","ASEME is an emerging Agent Oriented Software Engineering (AOSE) methodology. The Model-Driven Engineering (MDE) paradigm encourages software modelers to automate the transition of one type of software model to another and eventually the code generation process. This paper builds on previous work that describes the model-driven development of agent systems using ASEME and creating a Platform Independent Model (PIM) that adheres to the language of statecharts, the Intra-Agent Control Model. In this contribution we use the generated statecharts and show how to automatically transform them to Java programs using the Java Agent Development Framework (JADE). All agent and behaviour classes are automatically generated including the agent interaction protocols. _ 2010 IEEE.",2010,
24,paper_30,"On using inplace transformations for model co-evolution",http://www.scopus.com/inward/record.url?eid=2-s2.0-84890500589&partnerID=40&md5=1cea9cb099f8f9651cf71751ff99709c,"<b>Authors:</b><br/>Wimmer M., Kusel A., Schoenboeck J., Retschitzegger W., Schwinger W., Kappel G. <br/><b>Key words:</b><br/>Inplace transformations; Metamodel merging; Model co-evolution <br/>","Metamodel evolution and model co-evolution are considered to be essential ingredients for the successful adoption of model-driven engineering in practice. In this respect, on the one hand, dedicated co-evolution languages have been proposed for migrating models conforming to an initial metamodel to models conforming to a revised metamodel with the drawback of requiring to learn a new language. On the other hand, the employment of dedicated model-to-model transformation languages has been proposed demanding for the specification of rules for copying unchanged elements. In this paper, we propose to tackle the co-evolution problem from a di_rent viewpoint. Instead of describing the co-evolution of models as a transformation between two metamodels, we employ existing inplace transformation languages. For this, the prerequisite is to represent both language versions within one metamodel which is automatically computed by merging the initial and the revised metamodel. This ensures that the initial as well as the revised model conform to the merged meta-model, enabling the employment of inplace transformations for initializing new metamodel elements. Finally, a check-out transformation is used for eliminating model elements which are no longer covered by the revised metamodel.We demonstrate this idea by using ATL for merging the metamodels and realizing the check-out transformation. Furthermore, we discuss the ATL refinement mode for co-evolving the models.",2010,
25,paper_31,"QVT based model transformation from sequence diagram to CSP",http://www.scopus.com/inward/record.url?eid=2-s2.0-79952032701&partnerID=40&md5=ad6baf72a90f16b05acbaa256a5c948f,"<b>Authors:</b><br/>Dan L. <br/><b>Key words:</b><br/>CSP; Model transformation; QVT; Sequence diagram; XSLT <br/>","In a model driven software development paradigm, UML sequence diagrams are used for modeling the interaction view of the software. For an application with high demanding of dependability, formal verification and analysis need to be performed on the sequence diagrams. This is usually done by transforming the sequence diagrams to a well studied formalism that has effective tool support to verification and analysis. In this paper, we propose an approach for transformations from sequence diagrams to CSP processes. The transformations are implemented by using the model driven software engineering standards, such as MOF, QVT, and XSLT. For this, we design the metamodels for sequence diagrams and CSP, and a set of transformation rules are specified using the QVT graphical syntax. The transformation rules are implemented as XSLT rule-based style templates. An XSLT engine reads the XMI file of a sequence diagram produced by an UML CASE tool, and then executes the XSLT templates, outputs the CSP model as an XML file. The XML file of the CSP processes can be translated into the input of a CSP checker for verification. _ 2010 IEEE.",2010,
26,paper_33,"Rule-based model transformation for, and in simulink",http://www.scopus.com/inward/record.url?eid=2-s2.0-84902009128&partnerID=40&md5=2b54bdaf3be97a69da6119a3d8cbef0b,"<b>Authors:</b><br/>Denil J., Mosterman P.J., Vangheluwe H. <br/><b>Key words:</b><br/>Model-based design; Model-driven engineering; Model-transformation; Simulink <br/>","Over the past decade, the design of embedded systems has come to rely on models as electronic artifacts that are both analysable and executable. Such executable models are at the core of Model-Based Design. Simulink_ is a popular Model-Based Design tool that supports simulation of models in various stages of design. While Simulink supports relating the various different models used in design, the technology to do so relies on the underlying Simulink code base. Instead, this paper employs explicit models of the relations between the various different design models. In particular, a rule-based approach is presented for model-to-model transformations. The abstraction from the code base provides benefits such as a more intuitive representation and the ability to more effectively reason about the transformations. The transformation rules and schedules are designed by augmenting standard Simulink model elements (e.g., blocks) for use in model transformation based on the structured RAMification approach. The approach is illustrated by the transformation of a continuous-time model, part of an adaptive controller, to a disrete-time counterpart, which is consecutively optimized for simulation.",2014,
27,paper_36,"Traceability-based incremental model synchronization",http://www.scopus.com/inward/record.url?eid=2-s2.0-73649147046&partnerID=40&md5=1a347b952367737650c94255ccf5e481,"<b>Authors:</b><br/>Madari I., Angyal L., Lengyel L. <br/><b>Key words:</b><br/>Model synchronization; Model transformation; Trace model; Traceability <br/>","Model transformation is a crucial aspect of Model-Driven Software Development. With the help of model transformation, we can generate source code or other artifacts from software models. However, a recurring problem in software development is the fact that source and target models coexist and they evolve independently. In general, a modeled system is composed of several models that are often related to one another. Consequently, the related models will not be consistent anymore if one of them is altered in the development process. For that reason, a model synchronization method is necessiated to resolve inconsistency between the modified models. Performing synchronization manually can be an error prone task due to the number and complexity of model elements. In model-driven technologies, where processing is carried out as a series of model transformations, applying model transformations can also be a reasonable option for the reconciliation. This paper presents an approach that uses trace models and model transformations to facilitate incremental model synchronization.",2009,
28,paper_37,"Transformation of aspect-oriented requirements specifications for reactive systems into aspect-oriented design specifications",http://www.scopus.com/inward/record.url?eid=2-s2.0-80455149951&partnerID=40&md5=c1db983b086a89d1a5652be406a773ec,"<b>Authors:</b><br/>Mussbacher G., Kienzle J., Amyot D. <br/><b>Key words:</b><br/>aspects; design models; model driven engineering; requirements; scenario models <br/>","Model-driven engineering (MDE) promises faster and more reliable software development processes. A key factor of MDE is the transformation of models, allowing a software engineer to use the most appropriate modeling notation for a particular task. The earlier transformations can be applied during software development, the greater the potential cost savings. To that effect, we report on the transformation of aspect-oriented models for reactive systems development, i.e., from a scenario-based requirements model into a UML-based design model. We use Aspect-oriented Use Case Maps (AoUCM) as the requirements notation and Reusable Aspect Models (RAM) as the design notation. While AoUCM is ideally suited for the specification of the system workflow comprised of interactions between the environment and the system, RAM excels in providing a design view of system structure and defining the data dimension of the system including inputs and outputs. As the more abstract AoUCM models are transformed into more concrete RAM models, MDE ensures that the AoUCM workflow specifications do not have to be modeled again in RAM, thus avoiding a duplication of effort. We present transformation algorithms to show that an AoUCM-to-RAM mapping is indeed feasible and report on initial tool support for the transformation. _ 2011 IEEE.",2011,
